四岁以上所有人,5.5,17.2
男,5.5,17.5
女,5.5,16.9
4-14岁,2.1,10.1
15-24岁,1.9,12.1
25-34岁,3.3,15.0
35-44岁,3.9,14.7
45-54岁,8.0,19.1
55-64岁,8.7,17.2
65岁以上,9.9,21.9
2000以下,7.3,18.7
2000-3500,4.8,16.3
3500-5000,2.7,13.8
5000以上,3.4,13.5
小学以下,5.7,18.8
初中,6.4,16.4
高中,6.4,18.5
大学及以上,3.2,14.5
