目标,收视率%,市场份额%
四岁以上所有人,0.8,2.6
男,0.6,2.1
女,1.0,3.1
4-14岁,0.3,1.3
15-24岁,1.0,4.9
25-34岁,0.8,3.8
35-44岁,0.6,2.2
45-54岁,1.0,2.6
55-64岁,0.9,1.9
65岁以上,0.5,1.2
2000以下,0.9,2.4
2000-3500,0.8,3.0
3500-5000,0.5,2.0
5000以上,0.8,3.9
小学以下,0.3,0.9
初中,0.8,2.3
高中,0.9,2.8
大学及以上,0.8,3.4
