目标,收视率%,市场份额%
四岁以上所有人,0.8,2.6
男,1.2,4.0
女,0.4,1.3
4-14岁,0.2,0.8
15-24岁,1.0,4.7
25-34岁,0.7,3.5
35-44岁,0.7,2.7
45-54岁,1.0,2.5
55-64岁,1.0,2.3
65岁以上,0.7,1.6
2000以下,0.9,2.4
2000-3500,0.8,3.1
3500-5000,1.0,4.5
5000以上,0.9,4.4
小学以下,0.2,0.7
初中,0.8,2.3
高中,0.9,2.6
大学及以上,1.0,4.5
