目标,收视率%,市场份额%
四岁以上所有人,0.6,1.8
男,0.7,2.4
女,0.4,1.2
4-14岁,0.1,0.6
15-24岁,0.8,3.9
25-34岁,0.3,1.6
35-44岁,0.4,1.5
45-54岁,0.7,1.9
55-64岁,0.8,1.7
65岁以上,0.6,1.3
2000以下,0.5,1.3
2000-3500,0.7,2.5
3500-5000,0.6,2.7
5000以上,0.4,1.8
小学以下,0.2,0.6
初中,0.6,1.5
高中,0.8,2.4
大学及以上,0.4,1.7
