目标,收视率%,市场份额%
四岁以上所有人,0.7,2.1
男,0.7,2.4
女,0.6,1.8
4-14岁,0.4,1.7
15-24岁,0.2,0.7
25-34岁,0.3,1.3
35-44岁,0.7,2.7
45-54岁,1.1,2.7
55-64岁,1.2,2.7
65岁以上,0.6,1.4
2000以下,0.7,1.9
2000-3500,0.6,2.3
3500-5000,1.4,6.1
5000以上,0.4,1.7
小学以下,0.3,1.0
初中,0.6,1.5
高中,0.8,2.4
大学及以上,0.7,2.9
